+--------+--------+--------+--------+--------+-----+---------------+---------------------+---------------------+
|  PCA   | Kernel |   c    | degree | gamma  |  K  | Working Point |        minDCF       |        C_prim       |
|   9    |  Poly  | 0.0001 |   3    |   -    | 0.1 |  (0.1, 1, 1)  | 0.44822458084104017 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.11375821162689767 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.2809913962339689 |
|   9    |  Poly  | 0.0001 |   3    |   -    |  1  |  (0.1, 1, 1)  | 0.45011868336720645 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.1143389440955472 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.2822288137313768 |
|   9    |  Poly  | 0.0001 |   3    |   -    |  10 |  (0.1, 1, 1)  | 0.44049160831468576 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.11923885383102964 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.2798652310728577 |
|   9    |  Poly  | 0.001  |   2    |   -    | 0.1 |  (0.1, 1, 1)  |  0.2814286912174014 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08707956424090371 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.18425412772915256 |
|   9    |  Poly  | 0.001  |   2    |   -    |  1  |  (0.1, 1, 1)  | 0.28380187053922357 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08597006732231674 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.18488596893077014 |
|   9    |  Poly  | 0.001  |   2    |   -    |  10 |  (0.1, 1, 1)  |  0.2798738088222422 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08242147189553002 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.18114764035888611 |
|   9    |  Poly  | 0.001  |   3    |   -    | 0.1 |  (0.1, 1, 1)  |  0.6154336165054476 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.15160795941524574 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.38352078796034667 |
|   9    |  Poly  | 0.001  |   3    |   -    |  1  |  (0.1, 1, 1)  |  0.5989944668250985 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.14315698614130828 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.3710757264832034 |
|   9    |  Poly  | 0.001  |   3    |   -    |  10 |  (0.1, 1, 1)  |  0.4960940502080554 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.13151513248460503 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.3138045913463302 |
|   9    |  Poly  |  0.01  |   2    |   -    | 0.1 |  (0.1, 1, 1)  | 0.27100138423878284 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08858788933867932 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.1797946367887311 |
|   9    |  Poly  |  0.01  |   2    |   -    |  1  |  (0.1, 1, 1)  | 0.27047677798489184 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.0876660317521186 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.1790714048685052 |
|   9    |  Poly  |  0.01  |   2    |   -    |  10 |  (0.1, 1, 1)  | 0.29302711495983125 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08041830796144558 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.1867227114606384 |
|   9    |  Poly  |  0.01  |   3    |   -    | 0.1 |  (0.1, 1, 1)  |  0.7082497829527001 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.17284732289850607 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.44054855292560313 |
|   9    |  Poly  |  0.01  |   3    |   -    |  1  |  (0.1, 1, 1)  |  0.7452006418064195 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.23191558149408448 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.488558111650252  |
|   9    |  Poly  |  0.01  |   3    |   -    |  10 |  (0.1, 1, 1)  |  0.737947533416073  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.22869097226510907 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.483319252840591  |
|   9    |  Poly  |  0.1   |   2    |   -    | 0.1 |  (0.1, 1, 1)  | 0.28076805680544026 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.09173451050830216 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.1862512836568712 |
|   9    |  Poly  |  0.1   |   2    |   -    |  1  |  (0.1, 1, 1)  |  0.3057855633921554 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08714511998083098 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.19646534168649318 |
|   9    |  Poly  |  0.1   |   2    |   -    |  10 |  (0.1, 1, 1)  |  0.2994418899313811 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08373868939391071 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.1915902896626459 |
|   9    |  Poly  |  0.1   |   3    |   -    | 0.1 |  (0.1, 1, 1)  |  0.9961484386762139 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.5880808073866004 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.7921146230314071 |
|   9    |  Poly  |  0.1   |   3    |   -    |  1  |  (0.1, 1, 1)  |  0.9932339555770142 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.6115037035279215 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.8023688295524678 |
|   9    |  Poly  |  0.1   |   3    |   -    |  10 |  (0.1, 1, 1)  |  0.9875538757841987 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.5497266087899786 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.7686402422870886 |
|   9    |  Poly  |   1    |   2    |   -    | 0.1 |  (0.1, 1, 1)  |  0.7052995543628406 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.30275788651422986 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5040287204385352 |
|   9    |  Poly  |   1    |   2    |   -    |  1  |  (0.1, 1, 1)  |  0.5898409919924603 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.20388133472336073 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.39686116335791055 |
|   9    |  Poly  |   1    |   2    |   -    |  10 |  (0.1, 1, 1)  |  0.369572344933135  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.0974166792414802 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.2334945120873076 |
|   9    |  Poly  |   1    |   3    |   -    | 0.1 |  (0.1, 1, 1)  |  0.9910007387573343 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.672398333575871  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.8316995361666026 |
|   9    |  Poly  |   1    |   3    |   -    |  1  |  (0.1, 1, 1)  |  0.9927042890675519 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.727306149928429  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.8600052194979905 |
|   9    |  Poly  |   1    |   3    |   -    |  10 |  (0.1, 1, 1)  |  0.9939106791890847 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.7348983567142866 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.8644045179516857 |
|   9    |  RBF   | 0.0001 |   -    | 1e-05  | 0.1 |  (0.1, 1, 1)  |  0.9758848539768344 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9196909544318927 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9477879042043635 |
|   9    |  RBF   | 0.0001 |   -    | 0.0001 | 0.1 |  (0.1, 1, 1)  |  0.9738977384892866 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9157959693208569 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9448468539050718 |
|   9    |  RBF   | 0.0001 |   -    | 0.001  | 0.1 |  (0.1, 1, 1)  |  0.9699615825221075 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8787756093372611 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9243685959296843 |
|   9    |  RBF   | 0.0001 |   -    |  0.01  | 0.1 |  (0.1, 1, 1)  |  0.8185850141530417 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.30760761608234033 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5630963151176911 |
|   9    |  RBF   | 0.0001 |   -    |  0.1   | 0.1 |  (0.1, 1, 1)  |  0.7233776175299529 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.22149700810616774 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.47243731281806034 |
|   9    |  RBF   | 0.0001 |   -    |   1    | 0.1 |  (0.1, 1, 1)  |  0.7266447783259524 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.26469448623294317 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.4956696322794478 |
|   9    |  RBF   | 0.0001 |   -    | 1e-05  |  1  |  (0.1, 1, 1)  |  0.9758848539768344 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9196909544318927 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9477879042043635 |
|   9    |  RBF   | 0.0001 |   -    | 0.0001 |  1  |  (0.1, 1, 1)  |  0.9738977384892866 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9157959693208569 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9448468539050718 |
|   9    |  RBF   | 0.0001 |   -    | 0.001  |  1  |  (0.1, 1, 1)  |  0.9699615825221075 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8787756093372611 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9243685959296843 |
|   9    |  RBF   | 0.0001 |   -    |  0.01  |  1  |  (0.1, 1, 1)  |  0.8185850141530417 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.30760761608234033 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5630963151176911 |
|   9    |  RBF   | 0.0001 |   -    |  0.1   |  1  |  (0.1, 1, 1)  |  0.7233776175299529 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.22149700810616774 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.47243731281806034 |
|   9    |  RBF   | 0.0001 |   -    |   1    |  1  |  (0.1, 1, 1)  |  0.7266447783259524 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.296074401471357  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5113595898986547 |
|   9    |  RBF   | 0.0001 |   -    | 1e-05  |  10 |  (0.1, 1, 1)  |  0.980707312763401  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |   0.93979809646235  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9602527046128755 |
|   9    |  RBF   | 0.0001 |   -    | 0.0001 |  10 |  (0.1, 1, 1)  |  0.9747146992462964 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9066391113335144 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9406769052899053 |
|   9    |  RBF   | 0.0001 |   -    | 0.001  |  10 |  (0.1, 1, 1)  |  0.9477041457913632 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.6967374942439066 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.8222208200176349 |
|   9    |  RBF   | 0.0001 |   -    |  0.01  |  10 |  (0.1, 1, 1)  |  0.8047635011518522 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.25085592311139976 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.527809712131626  |
|   9    |  RBF   | 0.0001 |   -    |  0.1   |  10 |  (0.1, 1, 1)  |  0.7374774722543272 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.23093839872626898 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.4842079354902981 |
|   9    |  RBF   | 0.0001 |   -    |   1    |  10 |  (0.1, 1, 1)  |  0.7276909484193487 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.34868891194640217 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5381899301828754 |
|   9    |  RBF   | 0.001  |   -    | 1e-05  | 0.1 |  (0.1, 1, 1)  |  0.9758848539768344 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9196909544318927 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9477879042043635 |
|   9    |  RBF   | 0.001  |   -    | 0.0001 | 0.1 |  (0.1, 1, 1)  |  0.9738977384892866 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9157959693208569 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9448468539050718 |
|   9    |  RBF   | 0.001  |   -    | 0.001  | 0.1 |  (0.1, 1, 1)  |  0.9699615825221075 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8787756093372611 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9243685959296843 |
|   9    |  RBF   | 0.001  |   -    |  0.01  | 0.1 |  (0.1, 1, 1)  |  0.8185850141530417 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.30760761608234033 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5630963151176911 |
|   9    |  RBF   | 0.001  |   -    |  0.1   | 0.1 |  (0.1, 1, 1)  |  0.7233776175299529 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.22149700810616774 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.47243731281806034 |
|   9    |  RBF   | 0.001  |   -    |   1    | 0.1 |  (0.1, 1, 1)  |  0.7266447783259524 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.2780681829942265 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5023564806600894 |
|   9    |  RBF   | 0.001  |   -    | 1e-05  |  1  |  (0.1, 1, 1)  |  0.9758848539768344 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9196909544318927 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9477879042043635 |
|   9    |  RBF   | 0.001  |   -    | 0.0001 |  1  |  (0.1, 1, 1)  |  0.9738977384892866 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9157959693208569 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9448468539050718 |
|   9    |  RBF   | 0.001  |   -    | 0.001  |  1  |  (0.1, 1, 1)  |  0.9699615825221075 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8787756093372611 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9243685959296843 |
|   9    |  RBF   | 0.001  |   -    |  0.01  |  1  |  (0.1, 1, 1)  |  0.8185850141530417 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.30760761608234033 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5630963151176911 |
|   9    |  RBF   | 0.001  |   -    |  0.1   |  1  |  (0.1, 1, 1)  |  0.7233776175299529 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.22149700810616774 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.47243731281806034 |
|   9    |  RBF   | 0.001  |   -    |   1    |  1  |  (0.1, 1, 1)  |  0.7266447783259524 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.2963433474002712 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5114940628631118 |
|   9    |  RBF   | 0.001  |   -    | 1e-05  |  10 |  (0.1, 1, 1)  |  0.9791474862757781 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9086657081935285 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9439065972346533 |
|   9    |  RBF   | 0.001  |   -    | 0.0001 |  10 |  (0.1, 1, 1)  |  0.9759456870768247 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.7786801482810194 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.877312917678922  |
|   9    |  RBF   | 0.001  |   -    | 0.001  |  10 |  (0.1, 1, 1)  |  0.933426979890306  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.5326828559082534 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.7330549178992797 |
|   9    |  RBF   | 0.001  |   -    |  0.01  |  10 |  (0.1, 1, 1)  |  0.8179434479854862 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.27521311874754095 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5465782833665136 |
|   9    |  RBF   | 0.001  |   -    |  0.1   |  10 |  (0.1, 1, 1)  |  0.7400533396252882 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.23264704300054123 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.4863501913129147 |
|   9    |  RBF   | 0.001  |   -    |   1    |  10 |  (0.1, 1, 1)  |  0.7285556063514301 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.3415242618828017 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5350399341171159 |
|   9    |  RBF   |  0.01  |   -    | 1e-05  | 0.1 |  (0.1, 1, 1)  |  0.9759725608815165 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9199998297381029 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9479861953098097 |
|   9    |  RBF   |  0.01  |   -    | 0.0001 | 0.1 |  (0.1, 1, 1)  |  0.972041789562559  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9009733855926374 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9365075875775982 |
|   9    |  RBF   |  0.01  |   -    | 0.001  | 0.1 |  (0.1, 1, 1)  |  0.9660660670252914 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8098723876864593 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.8879692273558754 |
|   9    |  RBF   |  0.01  |   -    |  0.01  | 0.1 |  (0.1, 1, 1)  |  0.8185850141530417 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.30760761608234033 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5630963151176911 |
|   9    |  RBF   |  0.01  |   -    |  0.1   | 0.1 |  (0.1, 1, 1)  |  0.7233776175299529 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.22149700810616774 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.47243731281806034 |
|   9    |  RBF   |  0.01  |   -    |   1    | 0.1 |  (0.1, 1, 1)  |  0.7266447783259524 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.26626242181145576 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.4964536000687041 |
|   9    |  RBF   |  0.01  |   -    | 1e-05  |  1  |  (0.1, 1, 1)  |  0.9747066873887473 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9152894278124972 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9449980576006223 |
|   9    |  RBF   |  0.01  |   -    | 0.0001 |  1  |  (0.1, 1, 1)  |  0.9657492026895518 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8818876567210416 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9238184297052967 |
|   9    |  RBF   |  0.01  |   -    | 0.001  |  1  |  (0.1, 1, 1)  |  0.9445922608183747 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.6671351839706305 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.8058637223945027 |
|   9    |  RBF   |  0.01  |   -    |  0.01  |  1  |  (0.1, 1, 1)  |  0.8047799652868146 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.2539373053273174 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5293586353070661 |
|   9    |  RBF   |  0.01  |   -    |  0.1   |  1  |  (0.1, 1, 1)  |  0.7374008497732913 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.2311760146465356 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.48428843220991347 |
|   9    |  RBF   |  0.01  |   -    |   1    |  1  |  (0.1, 1, 1)  |  0.7266447783259524 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.3034896379708365 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5150672081483945 |
|   9    |  RBF   |  0.01  |   -    | 1e-05  |  10 |  (0.1, 1, 1)  |  0.9775006458468608 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8620831827221724 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9197919142845166 |
|   9    |  RBF   |  0.01  |   -    | 0.0001 |  10 |  (0.1, 1, 1)  |  0.9460682641871244 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.6555265290419628 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.8007973966145436 |
|   9    |  RBF   |  0.01  |   -    | 0.001  |  10 |  (0.1, 1, 1)  |  0.935411019314013  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.5060291703756614 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.7207200948448372 |
|   9    |  RBF   |  0.01  |   -    |  0.01  |  10 |  (0.1, 1, 1)  |  0.8189123652715036 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.2786931580342775 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5488027616528905 |
|   9    |  RBF   |  0.01  |   -    |  0.1   |  10 |  (0.1, 1, 1)  |  0.7426383342484992 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.23351029690691213 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.4880743155777057 |
|   9    |  RBF   |  0.01  |   -    |   1    |  10 |  (0.1, 1, 1)  |  0.7266447783259524 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.32601111893655244 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5263279486312524 |
|   9    |  RBF   |  0.1   |   -    | 1e-05  | 0.1 |  (0.1, 1, 1)  |  0.970904670793797  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9035112307433195 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9372079507685582 |
|   9    |  RBF   |  0.1   |   -    | 0.0001 | 0.1 |  (0.1, 1, 1)  |  0.9627978056367347 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.7611183818119552 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.861958093724345  |
|   9    |  RBF   |  0.1   |   -    | 0.001  | 0.1 |  (0.1, 1, 1)  |  0.9216683038671822 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.5414283308131136 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.7315483173401479 |
|   9    |  RBF   |  0.1   |   -    |  0.01  | 0.1 |  (0.1, 1, 1)  |  0.5643467428657982 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.153656046410604  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.35900139463820113 |
|   9    |  RBF   |  0.1   |   -    |  0.1   | 0.1 |  (0.1, 1, 1)  |  0.7233776175299529 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.22149700810616774 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.47243731281806034 |
|   9    |  RBF   |  0.1   |   -    |   1    | 0.1 |  (0.1, 1, 1)  |  0.7266447783259524 |          -          |
