+--------+------------+----------------+-------------+---------------+---------------------+---------------------+
|  PCA   | g (target) | g (NON target) |   function  | Working Point |        minDCF       |        C_prim       |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6935979134405661 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8435507168512342 |
|   3    |     2      |       1        |    GMM_EM   |  (0.1, 1, 1)  |  0.9993630573248407 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9924170178033378 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9958900375640892 |
|   3    |     2      |       1        | GMM_EM_diag |  (0.1, 1, 1)  |         1.0         |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9867426575886522 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9933713287943261 |
|   3    |     2      |       1        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9942667355478315 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7540388708158756 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8741528031818535 |
|   3    |     2      |       2        |    GMM_EM   |  (0.1, 1, 1)  |  0.9973679299797439 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6898337180804763 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |   0.84360082403011  |
|   3    |     2      |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9966430722440585 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.697392481985587  |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8470177771148227 |
|   3    |     2      |       2        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9942667355478315 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7540388708158756 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8741528031818535 |
|   3    |     2      |       4        |    GMM_EM   |  (0.1, 1, 1)  |  0.9942036364356884 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6977934943301557 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8459985653829221 |
|   3    |     2      |       4        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9912249338927384 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6950605763912907 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8431427551420145 |
|   3    |     2      |       4        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9942667355478315 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7540388708158756 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8741528031818535 |
|   3    |     2      |       8        |    GMM_EM   |  (0.1, 1, 1)  |  0.9958740374548194 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6982511389726139 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8470625882137166 |
|   3    |     2      |       8        | GMM_EM_diag |  (0.1, 1, 1)  |  0.996606907048054  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6939012864826667 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8452540967653603 |
|   3    |     2      |       8        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9941324510795123 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6817783934558153 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8379554222676637 |
|   3    |     2      |       16       |    GMM_EM   |  (0.1, 1, 1)  |  0.9986542233042538 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7031275123521861 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8508908678282199 |
|   3    |     2      |       16       | GMM_EM_diag |  (0.1, 1, 1)  |  0.993100377097947  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7057797734468527 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8494400752723998 |
|   3    |     2      |       16       | GMM_EM_tied |  (0.1, 1, 1)  |  0.9935035202619023 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6935979134405661 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8435507168512342 |
|   3    |     4      |       1        |    GMM_EM   |  (0.1, 1, 1)  |  0.9993630573248407 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9906288052434761 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9949959312841583 |
|   3    |     4      |       1        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9987421383647799 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9904694020223463 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9946057701935631 |
|   3    |     4      |       1        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9961775635733094 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8061130597865365 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.901145311679923  |
|   3    |     4      |       2        |    GMM_EM   |  (0.1, 1, 1)  |  0.9960860327718762 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6955176248807561 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8458018288263162 |
|   3    |     4      |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9973475101480034 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7073352663281719 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8523413882380877 |
|   3    |     4      |       2        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9961775635733094 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8061130597865365 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.901145311679923  |
|   3    |     4      |       4        |    GMM_EM   |  (0.1, 1, 1)  |  0.9954490900967169 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6988876975764944 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8471683938366057 |
|   3    |     4      |       4        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9980252924866437 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6860138855040708 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8420195889953572 |
|   3    |     4      |       4        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9961775635733094 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8061130597865365 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.901145311679923  |
|   3    |     4      |       8        |    GMM_EM   |  (0.1, 1, 1)  |  0.9945877441303095 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6961192020182744 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.845353473074292  |
|   3    |     4      |       8        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9938964201898081 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6979285487450757 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8459124844674419 |
|   3    |     4      |       8        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9937001221134718 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6810226428205226 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8373613824669972 |
|   3    |     4      |       16       |    GMM_EM   |  (0.1, 1, 1)  |  0.9993506493506494 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.704728097076938  |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8520393732137936 |
|   3    |     4      |       16       | GMM_EM_diag |  (0.1, 1, 1)  |  0.9985714103496219 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.694779803517968  |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.846675606933795  |
|   3    |     4      |       16       | GMM_EM_tied |  (0.1, 1, 1)  |  0.9941404629370616 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6929279685542588 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8435342157456602 |
|   3    |     8      |       1        |    GMM_EM   |  (0.1, 1, 1)  |  0.9971326164874551 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9908790958992455 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9940058561933502 |
|   3    |     8      |       1        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9967389991621338 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9924589274331274 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9945989632976306 |
|   3    |     8      |       1        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9993630573248407 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9937711061432456 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9965670817340431 |
|   3    |     8      |       2        |    GMM_EM   |  (0.1, 1, 1)  |  0.9926028324051647 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7000973980266464 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8463501152159055 |
|   3    |     8      |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9920479852872217 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7054035316996472 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8487257584934345 |
|   3    |     8      |       2        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9993630573248407 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9937711061432456 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9965670817340431 |
|   3    |     8      |       4        |    GMM_EM   |  (0.1, 1, 1)  |  0.9952305063087786 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7076978632115797 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8514641847601792 |
|   3    |     8      |       4        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9954811375269138 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6894766961219346 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8424789168244242 |
|   3    |     8      |       4        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9993630573248407 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9937711061432456 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9965670817340431 |
|   3    |     8      |       8        |    GMM_EM   |  (0.1, 1, 1)  |  0.9959422500810206 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7056591340320657 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8508006920565432 |
|   3    |     8      |       8        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9934367310223688 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6890829171811294 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.841259824101749  |
|   3    |     8      |       8        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9961783439490446 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6968274654513353 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |   0.84650290470019  |
|   3    |     8      |       16       |    GMM_EM   |  (0.1, 1, 1)  |  0.9938121208701889 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7108280786650121 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8523200997676005 |
|   3    |     8      |       16       | GMM_EM_diag |  (0.1, 1, 1)  |  0.9968145062484686 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6989528485474203 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8478836773979445 |
|   3    |     8      |       16       | GMM_EM_tied |  (0.1, 1, 1)  |  0.9992831541218639 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6934779635503705 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8463805588361172 |
|   3    |     16     |       1        |    GMM_EM   |  (0.1, 1, 1)  |  0.9980252924866437 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9869500709280622 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9924876817073529 |
|   3    |     16     |       1        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9993630573248407 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9948710412837485 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9971170493042946 |
|   3    |     16     |       1        | GMM_EM_tied |  (0.1, 1, 1)  |         1.0         |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9940257016571226 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9970128508285613 |
|   3    |     16     |       2        |    GMM_EM   |  (0.1, 1, 1)  |  0.9973084466085075 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6986605085219761 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8479844775652419 |
|   3    |     16     |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9987421383647799 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7115481329794336 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8551451356721067 |
|   3    |     16     |       2        | GMM_EM_tied |  (0.1, 1, 1)  |         1.0         |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9940257016571226 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9970128508285613 |
|   3    |     16     |       4        |    GMM_EM   |  (0.1, 1, 1)  |  0.9973084466085075 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7043301439174835 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8508192952629955 |
|   3    |     16     |       4        | GMM_EM_diag |  (0.1, 1, 1)  |  0.992308832125309  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.704785577380997  |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.848547204753153  |
|   3    |     16     |       4        | GMM_EM_tied |  (0.1, 1, 1)  |         1.0         |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9940257016571226 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9970128508285613 |
|   3    |     16     |       8        |    GMM_EM   |  (0.1, 1, 1)  |  0.9973084466085075 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7014065061047395 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8493574763566235 |
|   3    |     16     |       8        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9942116482932375 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7121722969897524 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8531919726414949 |
|   3    |     16     |       8        | GMM_EM_tied |  (0.1, 1, 1)  |  0.994959470113679  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7086574285502609 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |   0.85180844933197  |
|   3    |     16     |       16       |    GMM_EM   |  (0.1, 1, 1)  |  0.9954216541556773 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7029250245520662 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8491733393538717 |
|   3    |     16     |       16       | GMM_EM_diag |  (0.1, 1, 1)  |         1.0         |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7128919379999943 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8564459689999971 |
|   3    |     16     |       16       | GMM_EM_tied |  (0.1, 1, 1)  |  0.9973854400598295 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7021345328483225 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.849759986454076  |
|   4    |     1      |       1        |    GMM_EM   |  (0.1, 1, 1)  |  0.9756605655684059 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2753166905806315 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6254886280745187 |
|   4    |     1      |       1        | GMM_EM_diag |  (0.1, 1, 1)  |  0.968131642956528  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.28125783447296754 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6246947387147478 |
|   4    |     1      |       1        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9756605655684059 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2753166905806315 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6254886280745187 |
|   4    |     1      |       2        |    GMM_EM   |  (0.1, 1, 1)  |  0.9649622840822296 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.29011415245885913 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6275382182705443 |
|   4    |     1      |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9654321184011113 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.292737940631048  |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6290850295160797 |
|   4    |     1      |       2        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9756605655684059 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2753166905806315 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6254886280745187 |
|   4    |     1      |       4        |    GMM_EM   |  (0.1, 1, 1)  |  0.9693888353781477 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.29962809447150984 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6345084649248287 |
|   4    |     1      |       4        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9658357278862763 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2966409376091961 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6312383327477362 |
|   4    |     1      |       4        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9756605655684059 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2753166905806315 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6254886280745187 |
|   4    |     1      |       8        |    GMM_EM   |  (0.1, 1, 1)  |  0.9664130265829239 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2936198262925892 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6300164264377566 |
|   4    |     1      |       8        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9663891516175515 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2987765285195727 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.632582840068562  |
|   4    |     1      |       8        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9648918791017891 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.29613186589440055 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6305118724980948 |
|   4    |     1      |       16       |    GMM_EM   |  (0.1, 1, 1)  |  0.9686832753842204 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.3075087399042046 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6380960076442125 |
|   4    |     1      |       16       | GMM_EM_diag |  (0.1, 1, 1)  |  0.964538123092899  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.31517744941836606 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6398577862556325 |
|   4    |     1      |       16       | GMM_EM_tied |  (0.1, 1, 1)  |  0.9695828505277001 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.29271745666982313 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6311501535987616 |
|   4    |     2      |       1        |    GMM_EM   |  (0.1, 1, 1)  |  0.9766379545093962 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.27965745718089835 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6281477058451472 |
|   4    |     2      |       1        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9803964852383056 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2812621278959238 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6308293065671147 |
|   4    |     2      |       1        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9756605655684059 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2753166905806315 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6254886280745187 |
|   4    |     2      |       2        |    GMM_EM   |  (0.1, 1, 1)  |  0.9724739539747898 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.3016545790664429 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6370642665206163 |
|   4    |     2      |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9610340011782673 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2947750544497176 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6279045278139924 |
|   4    |     2      |       2        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9756605655684059 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2753166905806315 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6254886280745187 |
|   4    |     2      |       4        |    GMM_EM   |  (0.1, 1, 1)  |  0.970147586219329  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.3038345260233397 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6369910561213343 |
|   4    |     2      |       4        | GMM_EM_diag |  (0.1, 1, 1)  |  0.960091021517006  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.29371807962633023 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6269045505716682 |
|   4    |     2      |       4        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9756605655684059 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2753166905806315 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6254886280745187 |
|   4    |     2      |       8        |    GMM_EM   |  (0.1, 1, 1)  |  0.9736093541145445 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.30044464640055635 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6370270002575504 |
|   4    |     2      |       8        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9547233186440302 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2994690667371662 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6270961926905982 |
|   4    |     2      |       8        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9648918791017891 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.29613186589440055 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6305118724980948 |
|   4    |     2      |       16       |    GMM_EM   |  (0.1, 1, 1)  |  0.9704335273280946 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.31776376778172355 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6440986475549091 |
|   4    |     2      |       16       | GMM_EM_diag |  (0.1, 1, 1)  |  0.9642566778512931 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.31557596672311844 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6399163222872057 |
|   4    |     2      |       16       | GMM_EM_tied |  (0.1, 1, 1)  |  0.9695828505277001 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.29271745666982313 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6311501535987616 |
|   4    |     4      |       1        |    GMM_EM   |  (0.1, 1, 1)  |  0.9956284602190351 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.32921057068568527 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6624195154523602 |
|   4    |     4      |       1        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9919724152225674 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.3309646992939281 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6614685572582477 |
|   4    |     4      |       1        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9775944951416872 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2835639431465534 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6305792191441203 |
|   4    |     4      |       2        |    GMM_EM   |  (0.1, 1, 1)  |  0.9955610407298906 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2738897027272228 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6347253717285567 |
|   4    |     4      |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9984888822808455 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.27565805782375224 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6370734700522989 |
|   4    |     4      |       2        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9775944951416872 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2835639431465534 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6305792191441203 |
|   4    |     4      |       4        |    GMM_EM   |  (0.1, 1, 1)  |  0.9955406208981501 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.27098583129612475 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6332632260971374 |
|   4    |     4      |       4        | GMM_EM_diag |  (0.1, 1, 1)  |  0.992172259835191  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2710281365601352 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6316001981976631 |
|   4    |     4      |       4        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9775944951416872 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2835639431465534 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6305792191441203 |
|   4    |     4      |       8        |    GMM_EM   |  (0.1, 1, 1)  |  0.9955406208981501 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2743373870489087 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6349390039735294 |
|   4    |     4      |       8        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9912196868425834 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.2739094690720347 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.632564577957309  |
|   4    |     4      |       8        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9706936678216334 |          -          |
