+----------+------+--------+-------------------+-------------------+-----------+
| Prior pi | PCA  |   λ    | minDCF (pi = 0.1) | minDCF (pi = 0.5) | min Cprim |
|   Fold   | None |  100   |       0.455       |       0.117       |   0.286   |
|   Fold   | None |  1000  |        0.5        |       0.128       |   0.314   |
|   0.1    |  5   | 1e-05  |       0.385       |       0.115       |    0.25   |
|   0.1    |  5   | 0.0001 |       0.385       |       0.115       |    0.25   |
|   0.1    |  5   | 0.001  |       0.384       |       0.115       |   0.249   |
|   0.1    |  5   |  0.01  |       0.382       |       0.114       |   0.248   |
|   0.1    |  5   |  0.1   |       0.377       |       0.112       |   0.245   |
|   0.1    |  5   |   1    |       0.411       |       0.106       |   0.259   |
|   0.1    |  5   |   10   |        0.42       |       0.109       |   0.265   |
|   0.1    |  5   |  100   |       0.456       |        0.12       |   0.288   |
|   0.1    |  5   |  1000  |        0.51       |       0.127       |   0.318   |
|   0.1    |  4   | 1e-05  |       0.485       |       0.132       |   0.308   |
|   0.1    |  4   | 0.0001 |       0.485       |       0.132       |   0.308   |
|   0.1    |  4   | 0.001  |       0.485       |       0.132       |   0.308   |
|   0.1    |  4   |  0.01  |       0.486       |       0.131       |   0.309   |
|   0.1    |  4   |  0.1   |       0.485       |       0.128       |   0.306   |
|   0.1    |  4   |   1    |        0.51       |       0.124       |   0.317   |
|   0.1    |  4   |   10   |       0.516       |       0.126       |   0.321   |
|   0.1    |  4   |  100   |        0.54       |       0.128       |   0.334   |
|   0.1    |  4   |  1000  |       0.561       |       0.132       |   0.346   |
|   0.1    |  3   | 1e-05  |       0.542       |       0.134       |   0.338   |
|   0.1    |  3   | 0.0001 |       0.542       |       0.134       |   0.338   |
|   0.1    |  3   | 0.001  |       0.542       |       0.134       |   0.338   |
|   0.1    |  3   |  0.01  |       0.542       |       0.135       |   0.339   |
|   0.1    |  3   |  0.1   |       0.542       |       0.136       |   0.339   |
|   0.1    |  3   |   1    |       0.536       |       0.136       |   0.336   |
|   0.1    |  3   |   10   |       0.545       |       0.133       |   0.339   |
|   0.1    |  3   |  100   |       0.545       |       0.133       |   0.339   |
|   0.1    |  3   |  1000  |       0.575       |       0.133       |   0.354   |
|   0.1    |  2   | 1e-05  |       0.757       |       0.208       |   0.483   |
|   0.1    |  2   | 0.0001 |       0.757       |       0.208       |   0.483   |
|   0.1    |  2   | 0.001  |       0.757       |       0.208       |   0.483   |
|   0.1    |  2   |  0.01  |       0.756       |        0.21       |   0.483   |
|   0.1    |  2   |  0.1   |       0.759       |       0.211       |   0.485   |
|   0.1    |  2   |   1    |       0.781       |       0.213       |   0.497   |
|   0.1    |  2   |   10   |        0.8        |       0.219       |   0.509   |
|   0.1    |  2   |  100   |       0.801       |       0.224       |   0.513   |
|   0.1    |  2   |  1000  |       0.811       |       0.225       |   0.518   |
|   0.1    | None | 1e-05  |       0.386       |       0.112       |   0.249   |
|   0.1    | None | 0.0001 |       0.386       |       0.112       |   0.249   |
|   0.1    | None | 0.001  |       0.386       |       0.112       |   0.249   |
|   0.1    | None |  0.01  |       0.379       |       0.113       |   0.246   |
|   0.1    | None |  0.1   |       0.381       |        0.11       |   0.246   |
|   0.1    | None |   1    |       0.414       |       0.107       |    0.26   |
|   0.1    | None |   10   |       0.435       |       0.109       |   0.272   |
|   0.1    | None |  100   |       0.455       |       0.119       |   0.287   |
|   0.1    | None |  1000  |       0.501       |       0.127       |   0.314   |
|   0.5    |  5   | 1e-05  |        0.4        |       0.114       |   0.257   |
|   0.5    |  5   | 0.0001 |       0.397       |       0.114       |   0.256   |
|   0.5    |  5   | 0.001  |       0.397       |       0.114       |   0.256   |
|   0.5    |  5   |  0.01  |       0.395       |       0.113       |   0.254   |
|   0.5    |  5   |  0.1   |       0.395       |       0.112       |   0.253   |
|   0.5    |  5   |   1    |       0.417       |       0.105       |   0.261   |
|   0.5    |  5   |   10   |       0.434       |       0.112       |   0.273   |
|   0.5    |  5   |  100   |       0.462       |       0.121       |   0.292   |
|   0.5    |  5   |  1000  |       0.506       |       0.129       |   0.317   |
|   0.5    |  4   | 1e-05  |       0.489       |       0.128       |   0.308   |
|   0.5    |  4   | 0.0001 |       0.489       |       0.128       |   0.308   |
